#Description,mid_vert_pos,lower_trolley_1,lower_trolley_2,rail_dist,vert_force_1,vert_force_2,vert_force_no_sup_1,vert_force_no_sup_2,von_mises_1,von_mises_2,von_mises_3,von_mises_4
0.0,0.021790385850696703,0.019906901623133945,0.020293584162725694,-0.005323724827661636,-648246.4432541172,-629922.1318342222,-361709.66092343413,-371956.6720145227,38882851.4625768,22895029.412439026,38517103.326135926,23432028.453060392
0.024999,0.021792487778561576,0.0199086151359469,0.020295469964295203,-0.005324899252413751,-648205.6408964954,-629890.1121458097,-361745.8677844982,-371994.198002476,38885001.54327058,22898633.96673083,38519625.3516026,23435846.267503876
